ID;Eje;Promesa segun el canon (H03);Meta PDOT asignada;Tipo vinculacion;Score;>> CONFIRMA? (S/N);>> Meta correcta (si cambia);>> Observacion
PR-21;Económico;Construcción del parque industrial de Montecristi para artesanos del sombrero;EP-L-N-01;Directa con matiz;0.75;;;
PR-22;Social;Ampliación de la red de alcantarillado sanitario en parroquias Sucre y Leónidas Plaza;SC-L-G-01;Directa;1.0;;;
PR-23;Ambiental;Implementación de biodigestores y compostaje en el relleno sanitario cantonal;FA-DIS-01;Directa con matiz;0.75;;;
PR-24;Económico;Reactivación del puerto artesanal de Jaramijó con infraestructura pesquera;PI-I-G-01;Parcial;0.5;;;
PR-25;Social;Construcción y equipamiento de centros de desarrollo infantil CIBV en Montecristi;AH-I-X-03;Directa;1.0;;;
PR-26;Institucional;Modernización del sistema de atención al ciudadano y ventanilla única;AH-I-X-04;Directa;1.0;;;
PR-27;Ambiental;Descontaminación y recuperación del estero La Jagua y manglares asociados;FA-CC-01;Directa con matiz;0.75;;;
PR-28;Económico;Fomento de la exportación de artesanías de paja toquilla — certificación UNESCO;EP-L-X-01;Directa con matiz;0.75;;;
PR-29;Infraestructura;Rehabilitación de la vía Montecristi–Jaramijó–Crucita y circuito costero;AH-I-X-02;Directa con matiz;0.75;;;
PR-30;Social;Programa de alimentación escolar complementaria en comunidades rurales;AH-I-X-03;Parcial;0.5;;;
PR-31;Institucional;Implementación del sistema de rendición de cuentas digital abierto;PI-L-G-01;Directa;1.0;;;
PR-32;Ambiental;Reforestación de 500 hectáreas de bosque seco tropical en el cantón;FA-CC-01;Parcial;0.5;;;
PR-33;Infraestructura;Construcción del complejo deportivo multicancha en Parroquia Leonidas Plaza;PI-I-G-01;Parcial;0.5;;;
PR-34;Social;Ampliación del programa de atención médica móvil en comunidades rurales;AH-I-X-03;Directa con matiz;0.75;;;
PR-35;Económico;Creación del centro de acopio y procesamiento para pequeños agricultores;EP-L-N-01;Parcial;0.5;;;
PR-36;Institucional;Implementación de cámaras de seguridad CCTV en zonas críticas del cantón;FA-I-X-01;Directa con matiz;0.75;;;
PR-37;Social;Construcción de casas comunales y espacios para adultos mayores en parroquias;AH-I-X-03;Directa con matiz;0.75;;;
PR-38;Ambiental;Implementación de energía solar en edificios municipales y alumbrado público;FA-CC-01;Parcial;0.5;;;
PR-39;Infraestructura;Ampliación de la red de agua potable sector rural Noroeste del cantón;SC-I-N-01;Directa;1.0;;;
PR-40;Económico;Creación de zona franca turística en la ruta del sombrero de paja toquilla;PI-TUR-01;Directa con matiz;0.75;;;
PR-41;Social;Programa integral de vivienda con bono para familias en pobreza extrema;EP-L-N-01;Directa con matiz;0.75;;;
PR-42;Institucional;Convenio con MIDUVI para regularización de asentamientos informales;EP-L-N-01;Directa con matiz;0.75;;;
PR-43;Ambiental;Plan de manejo de cuencas hídricas y prevención de inundaciones;FA-I-X-01;Directa con matiz;0.75;;;
PR-44;Económico;Programa de microcrédito para emprendedores artesanales con BanEcuador;EP-L-X-01;Parcial;0.5;;;
PR-45;Infraestructura;Pavimentación de calles en sector urbano marginal de Montecristi centro;AH-I-X-02;Directa con matiz;0.75;;;
PR-46;Social;Creación del banco de medicamentos para familias en pobreza extrema;AH-I-X-03;Parcial;0.5;;;
PR-47;Institucional;Implementación del presupuesto participativo como política permanente;SC-I-N-03;Directa;1.0;;;
PR-48;Ambiental;Control y erradicación del plástico de un solo uso en playas del cantón;FA-C-X-01;Directa con matiz;0.75;;;
PR-49;Económico;"Fortalecimiento de la marca ""Sombrero de Paja Toquilla de Montecristi"" a nivel global";EP-L-X-01;Directa;1.0;;;
PR-50;Infraestructura;Construcción de aceras y bordillos en barrios periféricos de Montecristi;AH-I-X-02;Directa con matiz;0.75;;;
PR-51;Social;Implementación de techos propios para familias sin vivienda adecuada;EP-L-N-01;Directa con matiz;0.75;;;
PR-52;Institucional;Fortalecimiento institucional y reestructuración orgánica del GAD;SC-L-N-02;Directa;1.0;;;
PR-53;Ambiental;Creación del humedal artificial como sistema de tratamiento aguas residuales;FA-I-X-02;Parcial;0.5;;;
PR-54;Económico;Apoyo a cooperativas de pescadores con equipos de frío y comercialización;EP-L-N-01;Parcial;0.5;;;
PR-55;Social;"Implementación del programa ""Mujer Productiva"" con IEPS y organizaciones locales";AH-I-X-03;Directa con matiz;0.75;;;
PR-56;Infraestructura;Rehabilitación del sistema de agua potable de parroquia La Pila;SC-I-N-01;Directa;1.0;;;
PR-57;Institucional;Creación del archivo digital municipal y digitalización de documentos históricos;AH-C-X-02;Directa con matiz;0.75;;;
