#;TIPO MRSPP;SCORE;VINCULANTE;DEMANDA CIUDADANA;PROYECTO DEL POA;POR QUÉ EL MOTOR LO CLASIFICÓ ASÍ;¿CORRECTO? (si/no/otro-tipo);NOTA DE JAVO
1;DIRECTA;0.674;SÍ;NECESITAMOS PARQUE (SECTOR NUEVO MONTECRISTI);Construccción parque las Pampas · Urbanización y Embellecimiento 01.01.01.B300.360.2024.750104.001.13.09.02.A13.99.9 9.99.99.002 · Dirección de Obras Públicas.;directa: ejecuta el objeto de la demanda 'areas_verdes' (rubro afín);;
2;DIRECTA;0.633;SÍ;MEJORAMIENTO DE PARQUES • MONTECRISTI;Construccción parque las Pampas · Urbanización y Embellecimiento 01.01.01.B300.360.2024.750104.001.13.09.02.A13.99.9 9.99.99.002 · Dirección de Obras Públicas.;directa: ejecuta el objeto de la demanda 'areas_verdes' (rubro afín);;
3;DIRECTA;0.615;SÍ;NECESITAMOS PARQUES (MONTERREY);Transformadores , control automático para fuentes u otros de parques en el cantón Montecristi · Urbanización y Embellecimiento 01.01.01.B300.320.2024.750104.001.13.09.02.;directa: ejecuta el objeto de la demanda 'areas_verdes' (rubro afín);;
4;DIRECTA;0.607;SÍ;QUE AUMENTELAS CAPACITACIONES A LA OUOAOANIA • MONTECRISTI;INFRAESTRUCTURA, ENERGÍA Y MEDIO AMBIENTE · 7. Precautelar el uso responsable de los recursos naturales con un entorno ambientalmente sostenible. · 11. CIUDADES Y COMUNID;directa: ejecuta el objeto de la demanda 'social' (rubro afín);;
5;DIRECTA;0.598;SÍ;MANTENIMIENTO DE TAPAS DE ALCANTARILLADOLA PILA;CRÉDITO BDE -Construcción Sistema de Alcantarillado Sanitario Parroquia La Pila · 01.01.01.B300.330.2023.750101.002.13.09. 02.A13.99.99.99.99.302 · CRÉDITO BDE - Construc;directa: ejecuta el objeto de la demanda 'agua' (rubro afín);;
6;DIRECTA;0.596;SÍ;REPARACION INTEGRAL DELPARQUE CONSTRUCCION DEL TECHADO CENTRO -BAJO DE AFUERA.;Crédito BDE -Proyecto de Espacio de Memoria Ciudadana implantado en la Casa Patrimonial Ex Escuela de Niñas Eloy Alfaro del Cantón Montecristi · 01.01.01.A200.210.2023.75;directa: ejecuta el objeto de la demanda 'areas_verdes' (rubro afín);;
7;DIRECTA;0.594;SÍ;Priorizar arreglo de vias principales;INFRAESTRUCTURA_ENERGI A_Y_MEDIO_AMBIENTE · 8. Impulsar la conectividad como fuente de desarrollo y crecimiento económico. · 11. CIUDADES Y COMUNIDADES SOSTENIBLES · Asen;directa: ejecuta el objeto de la demanda 'vialidad' (rubro afín);;
8;DIRECTA;0.589;SÍ;REAllZAA PARQUES ENBARRIO SAN JOSE - CALLE 10 DE AGOSTO;Construccción parque las Pampas · Urbanización y Embellecimiento 01.01.01.B300.360.2024.750104.001.13.09.02.A13.99.9 9.99.99.002 · Dirección de Obras Públicas.;directa: ejecuta el objeto de la demanda 'areas_verdes' (rubro afín);;
9;FUNCIONAL;0.688;SÍ;PROTECCION MANTENIMIENTO DE ARBORIZACION PLANTAS ORNAMENTALES;"Adquisición de plantas para siembra de arboles en sectores identificados en gestión de riesgos ( la vía Portoviejo-Montecristi; vía Montecristi-El Chorrillo; vía Montecri";funcional: objeto distinto ('adquisicion') que produce el efecto buscado por la demanda 'areas_verdes';;
10;FUNCIONAL;0.624;SÍ;CURSO DE CAPACITACION- LOS CRUCES;Realizar Trabajos De Readecuación A Los Infocentros Y Centros De Educación · Insumos, Materiales y Suministros para Construcción, Electricidad, Plomería, Carpintería, Señ;funcional: objeto distinto ('suministro') que produce el efecto buscado por la demanda 'social';;
11;FUNCIONAL;0.611;SÍ;BRINDAR MAYOR SEGURIDAD EN LOS BARRIOS DE NUESTRA COMUNIDAD- BAJO DE LA PALMA;Entrega De Souvenirs · Vestuario, Lencería, Prendas de Protección, Insumos y Accesorios para uniformes del personal de Protección,Vigilancia y Seguridad. 01.01.01.B300.36;funcional: objeto distinto ('insumo') que produce el efecto buscado por la demanda 'seguridad';;
