"id";"poblacion";"numeral";"parrafo";"tipo_PROPUESTO";"verbo_disparador";"exigible_PROPUESTO";"n_subreq";"subrequisitos";"TIPO_VALIDADO";"EXIGIBLE_VALIDADO";"OBSERVACION_JURIDICA";"texto_normativo_completo"
"C11-B01";"CANDIDATA_a_exigibilidad";"1.1";"175";"B_exigencia_material";"se debe";"si";"0";"";"";"";"";"Para el cumplimiento de los contenidos sobre la estructura orgánica funcional y las metas y objetivos de las unidades administrativas de conformidad con sus programas operativos, se debe garantizar el registro de la siguiente información en el formato de conjunto de datos:"
"C12-B01";"CANDIDATA_a_exigibilidad";"1.2";"182";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"2 Base legal que la rige y regulaciones y procedimientos internos aplicables a la entidad"
"C12-B02";"CANDIDATA_a_exigibilidad";"1.2";"183";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Los contenidos de la base legal que rige a la entidad conservarán la jerarquía de la norma, de conformidad con lo dispuesto en el artículo 425 de la Constitución de la República del Ecuador."
"C12-B03";"CANDIDATA_a_exigibilidad";"1.2";"184";"B_exigencia_material";"debera";"si";"0";"";"";"";"";"En ese contexto, se deberá listar la Constitución de la República del Ecuador; tratados y convenios internacionales; códigos; leyes orgánicas; leyes ordinarias; ordenanzas; decretos"
"C12-B04";"FRAGMENTO_no_es_condicion";"1.2";"188";"B_exigencia_material";"deberan";"si";"0";"";"";"";"";"ejecutivos relacionados con la entidad; reglamento de leyes; ordenanzas municipales; acuerdos; resoluciones; y demás normas que se relacionen con la creación de la entidad y de las competencias u obligaciones asignadas. Únicamente se deberán detallar las normas que rigen para la entidad y que se encuentran vigentes."
"C12-B05";"CANDIDATA_a_exigibilidad";"1.2";"189";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Como regulaciones y procedimientos internos registrarán las normas internas como resoluciones, reglamentos, manuales, guías, instructivos, etc., que hayan sido emitidas por la máxima autoridad institucional y que sean de cumplimiento obligatorio para todo el personal de la entidad."
"C12-B06";"CANDIDATA_a_exigibilidad";"1.2";"190";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"En el formato de conjunto de datos, los sujetos obligados primero describirán la base legal que rige a la entidad y posteriormente, procederá a registrar las regulaciones y procedimientos internos."
"C12-B07";"CANDIDATA_a_exigibilidad";"1.2";"191";"B_exigencia_material";"debera";"si";"0";"";"";"";"";"La información que deberá registrarse en el formato de conjunto de datos será la siguiente:"
"C13-B01";"CANDIDATA_a_exigibilidad";"1.3";"201";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"3 Metas y objetivos de las unidades administrativas de conformidad con los programas operativos"
"C13-B02";"CANDIDATA_a_exigibilidad";"1.3";"202";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Si la entidad no cuenta con un sistema para la gestión de planificación, elaborará un documento que alojará en el servidor institucional para que genere el enlace para descarga de la información y colocarlo en el campo del conjunto de datos."
"C2-A01";"CANDIDATA_a_exigibilidad";"2";"219";"A_exigencia_estructural";"formato del conjunto de datos";"si";"0";"";"";"";"";"Para cumplir con el directorio completo de la entidad y el distributivo de personal es necesario que se describa la nómina o listado de todo el personal que labora en la entidad. Este reporte deberá ser el mismo que maneja la entidad y que se armonizará en función del orden de las celdas que contiene el formato del conjunto de datos, en donde también se describirá el personal completo que labora bajo las distintas modalidades como nombramientos definitivos y provisionales, contratos de servicios ocasionales, incluidas aquellas personas que laboran bajo contrato de servicios profesionales que cumplen las 8 horas de trabajo y que permanecen la jornada completa en la entidad, de conformidad con la normativa laboral vigente en el país."
"C2-B02";"CANDIDATA_a_exigibilidad";"2";"220";"B_exigencia_material";"se incluira";"si";"0";"";"";"";"";"Se incluirá a las autoridades que conforman los cuerpos colegiados, de directorios, comisiones y de juntas parroquiales, etc. Para el personal que trabaja en campo y que por las características de sus funciones es de carácter operativo y no administrativo, se deberá colocar el correo electrónico, teléfono y piso en donde se ubica la oficina de la jefa o jefe inmediato."
"C2-B03";"CANDIDATA_a_exigibilidad";"2";"221";"B_exigencia_material";"debera";"si";"0";"";"";"";"";"Se recuerda que los regímenes laborales que rigen en el país son el Código del Trabajo (CT) y la Ley Orgánica del Servicio Público (LOSEP). Deberá consignar la información relacionada con la modalidad laboral y el estado del puesto de acuerdo con la realidad institucional."
"C2-B04";"CANDIDATA_a_exigibilidad";"2";"222";"B_exigencia_material";"debera";"si";"0";"";"";"";"";"La descripción de la información deberá ceñirse al Estatuto Orgánico por Procesos o al Reglamento Orgánico Funcional en cuanto a la descripción de los puestos y unidades"
"C2-B05";"FRAGMENTO_no_es_condicion";"2";"226";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"institucionales. Las escalas y niveles ocupacionales serán las que consten en el documento legal que se encuentre vigente para la entidad."
"C2-A06";"CANDIDATA_a_exigibilidad";"2";"227";"A_exigencia_estructural";"formato del conjunto de datos";"si";"0";"";"";"";"";"Esta información considerará la descripción conservando el orden alfabético para facilitar su ubicación de manera organizada para el uso de las personas que la usarán. El formato del conjunto de datos describirá la siguiente información:"
"C2-B07";"CANDIDATA_a_exigibilidad";"2";"241";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Si existen personas servidoras públicas que se encuentren subrogando o en encargo de funciones de otro puesto institucional, se registrará la información real en el mes que se produce la novedad y se dejará constancia en la celda del estado del puesto. Sí en el transcurso del mes reportado se generan cambios de desvinculación o ingresos de nuevo personal, se actualizará la información dentro del mismo mes en el que se producen."
"C3-A01";"CANDIDATA_a_exigibilidad";"3";"251";"A_exigencia_estructural";"formato del conjunto de datos";"si";"0";"";"";"";"";"El formato del conjunto de datos registrará la información que se describe a continuación:"
"C3-B02";"CANDIDATA_a_exigibilidad";"3";"268";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Las remuneraciones mensuales serán detalladas por cada puesto de trabajo y la unificada multiplicada por 12 meses."
"C3-B03";"CANDIDATA_a_exigibilidad";"3";"269";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"En la celda para la remuneración de la jornada especial diferenciada (mensual), únicamente se registrará información en el caso de que exista norma expresa alguna que afecte a la remuneración mensual unificada o cuando exista personal especializado que por disposición legal se someta a esta particularidad."
"C3-B04";"CANDIDATA_a_exigibilidad";"3";"270";"B_exigencia_material";"deben";"si";"0";"";"";"";"";"Los ingresos adicionales contendrán los valores de forma prorrateada, de acuerdo con lo que se devengue en el mes en el que se actualiza la información. Las remuneraciones deben ponerse en valor unitario y no por el número de puestos existentes por cada denominación."
"C3-G05";"ORIENTACION_no_exigible";"3";"271";"G_orientacion_no_exigible";"podra";"no";"0";"";"";"";"";"Se aclara que, en el formato de conjunto de datos, no se podrá aplicar fórmula alguna ya que impedirá la generación de la información en datos abiertos."
"C4-A01";"CANDIDATA_a_exigibilidad";"4";"279";"A_exigencia_estructural";"formato del conjunto de datos";"si";"0";"";"";"";"";"El formato del conjunto de datos registrará la información que se describe a continuación:"
"C4-B02";"CANDIDATA_a_exigibilidad";"4";"290";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"El tipo de licencia de servicio o de comisión de servicio contempla todas las modalidades de licencia sin remuneración, comisión de servicio con remuneración, y comisión de servicio sin remuneración establecidos en la normativa vigente."
"C5-G01";"ORIENTACION_no_exigible";"5";"298";"G_orientacion_no_exigible";"es importante que";"no";"0";"";"";"";"";"Se detallará los servicios que brinda la entidad, formularios y formatos de solicitudes para los trámites que permita a las personas conocer el procedimiento de cada uno y acceder a ellos. Es importante que la información de los servicios se redacte en"
"C5-B02";"FRAGMENTO_no_es_condicion";"5";"302";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"lenguaje sencillo y claro, de tal manera que se evite el uso de terminología técnica que pudieran causar dificultad para su comprensión."
"C5-B03";"CANDIDATA_a_exigibilidad";"5";"303";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Las entidades que difunden sus servicios mediante la plataforma https://www.gob.ec/, tienen gran avance en la descripción de cada uno de los servicios institucionales, ya que disponen de información como los requisitos, procedimiento, horarios de atención, incluido los formularios y el acceso a los servicios en línea."
"C5-C04";"CANDIDATA_a_exigibilidad";"5";"304";"C_regla_de_calculo";"totalizar";"si";"0";"";"";"";"";"Se debe totalizar el número de personas que acceden mensualmente a los servicios, así como el número acumulativo de quienes accedieron a cada servicio, sumatoria que deberá corresponder hasta el mes de reporte de la información."
"C5-D05";"CANDIDATA_a_exigibilidad";"5";"305";"D_fuente_documental_exigida";"con base en";"si";"0";"";"";"";"";"Para cumplir a cabalidad con los enunciados exigidos en la ley, los sujetos obligados deben describir la denominación de cada servicio público con base en la siguiente información en el formato del conjunto de datos:"
"C5-B06";"CANDIDATA_a_exigibilidad";"5";"316";"B_exigencia_material";"se debe";"si";"0";"";"";"";"";"En cuanto a los servicios que brinda, se debe incluir la atención de las solicitudes de acceso a la información pública."
"C5-B07";"CANDIDATA_a_exigibilidad";"5";"317";"B_exigencia_material";"deberan";"si";"8";"la descripción del servicio | a quién está dirigido | requisitos para acceder al servicio | procedimiento para acceder al servicio | costo del servicio | oficinas que ofrecen el servicio | horarios de atención | tiempo estimado de respuesta";"";"";"";"En cuanto al enlace para acceder al reporte del servicio, los sujetos obligados deberán generar un documento en el que se especifique información relacionada con: la descripción del servicio; a quién está dirigido; requisitos para acceder al servicio; procedimiento para acceder al servicio; costo del servicio; oficinas que ofrecen el servicio; horarios de atención; tiempo estimado de respuesta. Esta información podrá reportarse en cualquier formato que considere la entidad, de preferencia en uno editable."
"C5-F08";"CANDIDATA_a_exigibilidad";"5";"318";"F_condicion_procedimental";"si la entidad no dispone de una encuesta para medir la satisfaccion de las personas que acceden a los servicios, debera";"si";"0";"";"";"";"";"Si la entidad no dispone de una encuesta para medir la satisfacción de las personas que acceden a los servicios, deberá establecer un compromiso para elaborar una que pueda"
"C5-B09";"FRAGMENTO_no_es_condicion";"5";"322";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"enlazar a los canales mediante los cuales la población accede a estos y hasta cumplir con este objetivo."
"C5-G10";"ORIENTACION_no_exigible";"5";"323";"G_orientacion_no_exigible";"podran";"no";"0";"";"";"";"";"Con la finalidad de priorizar y dinamizar los servicios institucionales, las entidades podrán establecer acciones para difundir sus servicios a través del Portal Único de Trámites Ciudadanos: https://www.gob.ec/, que contribuirá a facilitar el acceso de las personas a esta información trascendental para promover la incidencia de la sociedad civil en la gestión pública."
"C22-G01";"ORIENTACION_no_exigible";"22";"298";"G_orientacion_no_exigible";"es importante que";"no";"0";"";"";"";"";"Se detallará los servicios que brinda la entidad, formularios y formatos de solicitudes para los trámites que permita a las personas conocer el procedimiento de cada uno y acceder a ellos. Es importante que la información de los servicios se redacte en"
"C22-B02";"FRAGMENTO_no_es_condicion";"22";"302";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"lenguaje sencillo y claro, de tal manera que se evite el uso de terminología técnica que pudieran causar dificultad para su comprensión."
"C22-B03";"CANDIDATA_a_exigibilidad";"22";"303";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Las entidades que difunden sus servicios mediante la plataforma https://www.gob.ec/, tienen gran avance en la descripción de cada uno de los servicios institucionales, ya que disponen de información como los requisitos, procedimiento, horarios de atención, incluido los formularios y el acceso a los servicios en línea."
"C22-C04";"CANDIDATA_a_exigibilidad";"22";"304";"C_regla_de_calculo";"totalizar";"si";"0";"";"";"";"";"Se debe totalizar el número de personas que acceden mensualmente a los servicios, así como el número acumulativo de quienes accedieron a cada servicio, sumatoria que deberá corresponder hasta el mes de reporte de la información."
"C22-D05";"CANDIDATA_a_exigibilidad";"22";"305";"D_fuente_documental_exigida";"con base en";"si";"0";"";"";"";"";"Para cumplir a cabalidad con los enunciados exigidos en la ley, los sujetos obligados deben describir la denominación de cada servicio público con base en la siguiente información en el formato del conjunto de datos:"
"C22-B06";"CANDIDATA_a_exigibilidad";"22";"316";"B_exigencia_material";"se debe";"si";"0";"";"";"";"";"En cuanto a los servicios que brinda, se debe incluir la atención de las solicitudes de acceso a la información pública."
"C22-B07";"CANDIDATA_a_exigibilidad";"22";"317";"B_exigencia_material";"deberan";"si";"8";"la descripción del servicio | a quién está dirigido | requisitos para acceder al servicio | procedimiento para acceder al servicio | costo del servicio | oficinas que ofrecen el servicio | horarios de atención | tiempo estimado de respuesta";"";"";"";"En cuanto al enlace para acceder al reporte del servicio, los sujetos obligados deberán generar un documento en el que se especifique información relacionada con: la descripción del servicio; a quién está dirigido; requisitos para acceder al servicio; procedimiento para acceder al servicio; costo del servicio; oficinas que ofrecen el servicio; horarios de atención; tiempo estimado de respuesta. Esta información podrá reportarse en cualquier formato que considere la entidad, de preferencia en uno editable."
"C22-F08";"CANDIDATA_a_exigibilidad";"22";"318";"F_condicion_procedimental";"si la entidad no dispone de una encuesta para medir la satisfaccion de las personas que acceden a los servicios, debera";"si";"0";"";"";"";"";"Si la entidad no dispone de una encuesta para medir la satisfacción de las personas que acceden a los servicios, deberá establecer un compromiso para elaborar una que pueda"
"C22-B09";"FRAGMENTO_no_es_condicion";"22";"322";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"enlazar a los canales mediante los cuales la población accede a estos y hasta cumplir con este objetivo."
"C22-G10";"ORIENTACION_no_exigible";"22";"323";"G_orientacion_no_exigible";"podran";"no";"0";"";"";"";"";"Con la finalidad de priorizar y dinamizar los servicios institucionales, las entidades podrán establecer acciones para difundir sus servicios a través del Portal Único de Trámites Ciudadanos: https://www.gob.ec/, que contribuirá a facilitar el acceso de las personas a esta información trascendental para promover la incidencia de la sociedad civil en la gestión pública."
"C6-D01";"CANDIDATA_a_exigibilidad";"6";"330";"D_fuente_documental_exigida";"se consideran los datos";"si";"0";"";"";"";"";"En el presupuesto institucional, se consideran los datos de la cédula presupuestaria mensual institucional y la del presupuesto liquidado. En el conjunto de datos se registrará el siguiente contenido:"
"C6-C02";"CANDIDATA_a_exigibilidad";"6";"351";"C_regla_de_calculo";"para obtener";"si";"0";"";"";"";"";"Para obtener el porcentaje de ejecución presupuestaria, las entidades tomarán los montos del codificado de ingresos y para los gastos se tomará la información del devengado, de esta manera se brindará información completa de la ejecución presupuestaria a la población."
"C7-B01";"CANDIDATA_a_exigibilidad";"7";"358";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Los informes de auditorías internas y gubernamentales que se reportan en el presente artículo mostrarán a la población, el nivel de cumplimiento de recomendaciones de los informes auditados, sean estos gubernamentales o internas con lo cual aportan al fortalecimiento de la gestión institucional en cuanto a la administración de los recursos públicos."
"C7-A02";"CANDIDATA_a_exigibilidad";"7";"359";"A_exigencia_estructural";"formato del conjunto de datos";"si";"0";"";"";"";"";"La información que se registrará en el formato del conjunto de datos son los siguientes:"
"C7-B03";"CANDIDATA_a_exigibilidad";"7";"376";"B_exigencia_material";"debera";"si";"0";"";"";"";"";"Para descargar el informe de auditoría específico deberá direccionarse hacia el enlace denominado Informes Aprobados del sitio web de la Contraloría General del Estado, en el que de manera específica permitirá la descarga a cada uno de los informes."
"C7-B04";"CANDIDATA_a_exigibilidad";"7";"377";"B_exigencia_material";"debera";"si";"6";"Número del informe auditado | descripción de la recomendación específica | denominación del puesto institucional y unidad o área responsable de cumplir la recomendación | el estado en el que se encuentra la recomendación | las acciones cumplidas o archivos que evidencie los avances en el cumplimiento de la recomendación | y, descripción de las acciones reportadas en el mes de registro de la información";"";"";"";"El reporte de seguimiento al cumplimiento de recomendaciones de los informes de auditorías corresponderá a aquellas recomendaciones que se encuentren pendientes y de las que mensualmente se habilitará un enlace para conocer los avances sobre su cumplimiento. El documento que se mostrará en la descarga deberá contener información precisa que describa lo siguiente: Número del informe auditado; descripción de la recomendación específica; denominación del puesto institucional y unidad o área responsable de cumplir la recomendación; el estado en el que se encuentra la recomendación; las acciones cumplidas o archivos que evidencie los avances en el cumplimiento de la recomendación; y, descripción de las acciones reportadas en el mes de registro de la información."
"C7-B05";"CANDIDATA_a_exigibilidad";"7";"378";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Una vez que la o las recomendaciones hayan sido cumplidas, dejarán de ser reportadas y se continuará con el seguimiento a las que se encuentren pendientes de cumplimiento."
"C7-B06";"CANDIDATA_a_exigibilidad";"7";"379";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"En relación con las auditorías internas o gubernamentales que se encuentren en curso no se reportarán mientras se encuentre en esta etapa."
"C7-B07";"CANDIDATA_a_exigibilidad";"7";"380";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"En cuanto a la información adicional sobre el informe de auditoría, se precisarán aspectos importantes que sean necesarios y que permitirá conocer más acerca del cumplimiento de una recomendación determinada."
"C8-B01";"FRAGMENTO_no_es_condicion";"8";"391";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"de servicios, arrendamientos mercantiles, etc., celebrados por la entidad con personas naturales o jurídicas, incluidos concesiones, permisos o autorizaciones; especificando objetivos, características, montos, proveedores y subcontratos” (ibidem, número 8)."
"C8-B02";"CANDIDATA_a_exigibilidad";"8";"392";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Para los procesos de contratación pública, se registrará la información que se describe con el siguiente contenido:"
"C8-B03";"CANDIDATA_a_exigibilidad";"8";"407";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Se registran todas las contrataciones en las diferentes modalidades que la entidad haya procesado en el mes de reporte incluida aquellos procesos que se hayan declarado desiertos dentro del mes."
"C9-B01";"CANDIDATA_a_exigibilidad";"9";"416";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Para el reporte de empresas y personas que han incumplido contratos, se registrará la siguiente información en el formato de conjunto de datos:"
"C10-B01";"CANDIDATA_a_exigibilidad";"10";"431";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Los contenidos de los planes y programas en ejecución serán aquellos aprobados por el órgano rector de la planificación nacional, así como los planes, proyectos y programas que formen parte del Plan Anual de Inversiones (PAI) de la entidad."
"C10-D02";"CANDIDATA_a_exigibilidad";"10";"432";"D_fuente_documental_exigida";"provenientes de";"si";"0";"";"";"";"";"Se registrarán los planes, proyectos o programas que las entidades mantengan y que sean financiados con los recursos de su propio presupuesto, a través de asignaciones estatales o provenientes de recursos por autogestión planificados dentro de la Programación Anual de Planificación (PAP) o del Plan Operativo Anual (POA), debidamente aprobados para el ejercicio fiscal o se refieran a proyectos de arrastre de años anteriores."
"C10-B03";"CANDIDATA_a_exigibilidad";"10";"433";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Se registran también los planes de carácter estratégico de la entidad."
"C10-A04";"CANDIDATA_a_exigibilidad";"10";"434";"A_exigencia_estructural";"formato del conjunto de datos";"si";"0";"";"";"";"";"La información que se deberá registrar en el formato del conjunto de datos será la siguiente:"
"C10-B05";"CANDIDATA_a_exigibilidad";"10";"446";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"El enlace para descargar el plan, proyecto o programa corresponderá al documento completo aprobado por la Secretaría Nacional de Planificación cuando corresponda o por la misma entidad con los recursos propios o de autogestión."
