archivo,carpeta,estado,palabras,tiene_yaml,tipo_nota,tipo_valido,campos_ok_count,campos_faltantes_count,campos_faltantes,campos_alias,problemas
00_CORE\00_QUIRA_GOV.md,00_CORE,ERROR,670,True,meta-sistema,True,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
00_CORE\01_TGI_FRAMEWORK.md,00_CORE,ERROR,648,True,meta-framework,False,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'meta-framework' | Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
00_CORE\02_TGI_DIMENSIONES.md,00_CORE,ERROR,861,True,meta-dimensiones,False,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'meta-dimensiones' | Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
00_CORE\03_SENTINEL_LOGICA.md,00_CORE,ERROR,1484,True,sentinel-logica,False,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'sentinel-logica' | Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
00_CORE\03_SIAP_ICPI_METHOD.md,00_CORE,ERROR,985,True,meta-metodologia,False,4,4,territorio | dimension_tgi | estado | fuente_canonica,tipo→tipo_nota | name→nombre,"tipo_nota desconocido: 'meta-metodologia' | Faltan 4 campos: territorio, dimension_tgi, estado, fuente_canonica | Aliases no canónicos: tipo→tipo_nota, name→nombre"
00_CORE\04_TGI_INDICADORES.md,00_CORE,ERROR,927,True,meta-indicadores,False,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'meta-indicadores' | Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
00_CORE\_Índice_CORE.md,00_CORE,ERROR,567,True,indice-modulo,False,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'indice-modulo' | Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
00_CORE\ALERTA-Brecha_Rural_1.79M.md,00_CORE,ERROR,606,True,alerta-territorial,False,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'alerta-territorial' | Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
00_CORE\ALERTA-D3_Ejecucion_Critica.md,00_CORE,ERROR,570,True,alerta-tgi,True,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
00_CORE\ALERTA-Isabel_Muentes.md,00_CORE,ERROR,523,True,alerta-territorial,False,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'alerta-territorial' | Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
00_CORE\ALERTA-Regresividad_IRS79.md,00_CORE,ERROR,689,True,alerta-metodologica,False,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'alerta-metodologica' | Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
00_CORE\MOTOR_00_Arquitectura_Logica.md,00_CORE,ERROR,992,True,motor-arquitectura,False,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'motor-arquitectura' | Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
00_CORE\MOTOR_01_Silos_Epistemicos.md,00_CORE,ERROR,1196,True,motor-silos,False,5,3,territorio | dimension_tgi | estado,tipo→tipo_nota | name→nombre | gold_master→fuente_canonica,"tipo_nota desconocido: 'motor-silos' | Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: tipo→tipo_nota, name→nombre, gold_master→fuente_canonica"
